0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, weight
269.59, 245.77, 283.2, 317.56, 306.72, 234.98, 166.48, 190.38, 156.47, 202.42, 235.55, 242.36, 161.21, 121.84, 139.12, 222.12, 197.65, 163.23, 121.75, 120.9, 90.85, 105.5, 114.19, 175.77, 151.93, 207.89, 219.16, 226.02, 165.6, 104.53, 83.53, 89.04, 184.04, 216.89, 181.39, 190.95, 176.15, 183.81, 129.66, 100.4, 255.82, 287.7, 261.15, 311.58, 277.75, 269.64, 251.55, 159.35, 0.0
237.66, 258.38, 222.97, 252.39, 223.51, 282.55, 190.49, 77.11, 108.22, 262.97, 272.19, 229.68, 117.66, 98.99, 59.13, 118.24, 112.1, 86.05, 77.89, 65.99, 56.89, 70.6, 60.05, 102.57, 97.96, 113.92, 125.5, 109.48, 93.43, 67.5, 45.6, 58.79, 107.87, 165.36, 112.33, 136.94, 97.84, 104.23, 75.35, 66.49, 121.52, 135.03, 207.25, 220.46, 155.2, 142.71, 165.03, 143.16, 0.0
273.29, 205.99, 210.65, 334.13, 316.98, 229.64, 187.6, 90.61, 124.39, 228.98, 249.2, 279.98, 169.66, 121.74, 83.99, 146.56, 91.62, 78.89, 67.1, 69.33, 59.26, 65.63, 60.25, 102.79, 99.3, 111.49, 130.51, 131.25, 112.92, 72.0, 60.72, 62.89, 109.86, 180.8, 100.19, 99.54, 137.03, 93.23, 90.8, 123.75, 125.64, 191.01, 178.3, 146.6, 177.89, 173.38, 142.85, 162.26, 0.0
361.22, 282.37, 283.94, 415.44, 302.37, 291.22, 239.82, 105.0, 129.86, 218.3, 258.33, 275.37, 133.53, 105.83, 55.37, 77.82, 80.13, 87.63, 60.11, 58.55, 55.94, 50.92, 60.22, 55.1, 91.42, 87.8, 83.28, 110.73, 64.88, 50.54, 53.04, 57.05, 93.75, 83.45, 98.76, 92.15, 102.9, 76.55, 59.11, 60.79, 121.9, 102.18, 145.67, 165.79, 158.7, 132.86, 174.21, 140.82, 0.0
140.54, 195.08, 306.96, 335.31, 270.43, 301.09, 117.66, 75.27, 73.27, 82.24, 190.75, 155.25, 107.62, 109.84, 50.64, 49.52, 103.03, 93.29, 84.09, 69.34, 51.59, 52.05, 45.54, 50.71, 93.59, 89.32, 120.52, 90.33, 95.73, 64.41, 56.68, 53.8, 104.05, 86.16, 102.94, 85.57, 107.4, 59.87, 63.13, 90.99, 181.95, 160.93, 128.77, 111.27, 147.01, 159.21, 166.15, 112.42, 0.0
315.99, 67.99, 210.41, 286.85, 170.1, 161.99, 143.66, 63.54, 73.67, 98.41, 275.59, 246.26, 39.14, 45.85, 53.28, 99.03, 101.77, 97.46, 54.36, 66.06, 43.64, 50.08, 48.35, 86.74, 85.8, 90.22, 79.05, 117.82, 51.05, 54.19, 68.43, 68.33, 104.34, 97.15, 93.08, 71.44, 109.15, 105.85, 68.86, 69.36, 144.38, 123.37, 215.68, 138.79, 164.37, 175.38, 125.63, 76.02, 0.11774069162047844
181.47, 196.48, 284.48, 357.22, 245.48, 227.07, 205.54, 101.43, 136.01, 185.28, 267.48, 213.69, 193.09, 99.19, 70.09, 95.63, 139.06, 72.38, 64.0, 58.54, 51.17, 63.2, 66.26, 74.16, 142.4, 134.69, 110.83, 119.67, 105.94, 92.92, 113.02, 107.67, 193.21, 144.0, 133.12, 122.11, 122.09, 104.93, 111.39, 93.18, 121.72, 80.83, 175.12, 110.13, 96.64, 89.11, 69.22, 66.04, 0.196509544638337
335.56, 317.89, 230.06, 387.42, 314.53, 281.33, 173.67, 98.32, 93.67, 256.79, 177.95, 222.13, 113.11, 61.52, 70.29, 116.87, 60.3, 63.63, 67.14, 43.26, 38.24, 51.78, 76.29, 98.24, 158.74, 132.78, 80.65, 126.71, 113.87, 86.01, 136.34, 188.05, 147.93, 152.51, 120.78, 76.73, 97.59, 97.88, 131.55, 180.76, 63.55, 98.29, 151.54, 103.2, 91.57, 87.94, 111.36, 89.92, 0.1837905356369405
281.46, 290.69, 327.92, 445.6, 341.33, 288.44, 200.17, 94.03, 150.68, 198.61, 230.46, 320.57, 157.96, 90.94, 64.02, 87.36, 54.9, 61.96, 79.2, 60.52, 38.66, 69.63, 64.89, 80.63, 167.99, 136.92, 143.63, 120.36, 97.79, 98.0, 97.11, 139.57, 185.97, 189.21, 148.73, 112.4, 103.52, 110.08, 121.41, 157.54, 105.28, 174.01, 144.36, 109.57, 109.99, 117.6, 138.38, 96.46, 0.14154429656912598
291.39, 207.92, 194.84, 157.92, 289.37, 268.32, 254.02, 57.65, 120.38, 139.69, 155.38, 121.1, 108.43, 55.46, 60.01, 64.69, 67.35, 64.33, 94.56, 81.32, 43.23, 53.84, 61.69, 63.25, 120.86, 106.56, 109.79, 111.17, 68.69, 75.7, 67.32, 75.34, 122.69, 147.3, 117.82, 75.53, 95.23, 117.9, 89.9, 102.62, 158.48, 157.71, 139.57, 135.03, 124.28, 123.06, 101.28, 106.09, 0.18305438911725797
360.98, 355.01, 344.57, 458.29, 361.02, 335.78, 219.54, 90.34, 175.14, 282.73, 271.25, 272.92, 170.82, 140.74, 66.83, 54.45, 43.05, 55.92, 54.0, 67.19, 58.62, 43.47, 49.9, 65.68, 97.31, 127.3, 142.67, 75.86, 86.09, 96.24, 88.83, 99.86, 154.82, 128.26, 114.94, 69.39, 94.54, 95.86, 102.84, 89.99, 112.25, 100.12, 92.63, 114.66, 98.97, 68.79, 89.34, 96.62, 0.1378169482729222
233.13, 213.33, 229.74, 249.64, 228.05, 202.34, 145.59, 181.46, 131.39, 231.04, 239.11, 236.15, 120.99, 121.42, 105.67, 181.93, 177.91, 119.44, 100.15, 110.59, 76.79, 93.66, 101.92, 154.81, 171.07, 164.66, 143.29, 163.54, 135.53, 124.62, 143.84, 167.69, 168.94, 201.54, 160.48, 172.37, 157.66, 123.41, 163.24, 165.66, 208.15, 231.39, 248.48, 241.48, 230.48, 174.27, 214.2, 170.16, 0.20190593650905586
