0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, weight
88.28, 51.36, 68.3, 78.59, 37.79, 40.19, 55.11, 61.66, 47.14, 32.49, 34.27, 45.27, 53.51, 52.3, 42.88, 35.33, 226.53, 211.45, 100.32, 286.72, 37.29, 34.96, 57.13, 64.4, 288.15, 393.11, 158.79, 353.34, 38.02, 50.33, 44.21, 55.95, 132.72, 271.09, 80.82, 318.89, 70.2, 72.75, 76.68, 64.92, 77.31, 93.01, 66.82, 89.59, 79.2, 82.09, 78.09, 67.86, 0.0
89.7, 57.92, 85.33, 93.45, 48.84, 56.57, 70.95, 68.13, 28.65, 22.26, 36.84, 57.7, 60.92, 64.23, 49.15, 34.15, 215.37, 217.15, 68.55, 272.34, 27.66, 22.08, 50.49, 51.19, 285.37, 348.36, 140.05, 342.52, 31.49, 24.68, 41.57, 49.12, 127.09, 273.58, 69.36, 367.59, 50.45, 55.59, 65.77, 47.95, 108.31, 84.58, 64.83, 89.24, 72.87, 88.19, 66.6, 70.6, 0.0
64.88, 55.7, 75.24, 82.18, 43.86, 43.88, 47.22, 49.51, 26.64, 17.5, 50.97, 52.15, 57.27, 51.14, 41.73, 20.19, 169.49, 281.86, 73.81, 256.39, 26.18, 25.98, 44.35, 56.06, 397.32, 405.9, 151.0, 355.25, 35.74, 28.34, 36.38, 43.64, 174.52, 302.4, 65.16, 280.56, 60.36, 52.08, 78.8, 71.68, 101.8, 115.72, 64.0, 99.03, 60.58, 57.8, 65.65, 85.43, 0.0
47.18, 26.85, 50.28, 65.24, 33.52, 42.86, 48.61, 32.95, 21.3, 15.25, 40.01, 37.29, 45.98, 41.4, 28.52, 20.0, 123.72, 239.51, 44.54, 199.51, 22.29, 20.46, 35.11, 58.36, 405.06, 408.44, 146.3, 249.1, 32.41, 21.64, 34.9, 31.71, 135.6, 306.79, 56.55, 213.59, 69.83, 35.27, 54.58, 55.35, 64.6, 115.95, 48.59, 60.93, 53.67, 51.4, 57.47, 75.99, 0.0
82.43, 36.16, 44.17, 44.4, 32.04, 34.63, 59.26, 79.69, 28.94, 15.46, 23.09, 32.7, 28.94, 41.71, 25.72, 41.85, 56.08, 239.99, 51.91, 220.58, 22.28, 15.18, 32.56, 51.21, 370.68, 462.84, 111.05, 275.43, 22.53, 27.39, 28.82, 29.95, 145.09, 310.28, 53.04, 232.99, 49.58, 36.05, 49.93, 42.7, 70.17, 156.71, 49.13, 55.98, 37.79, 67.75, 45.26, 57.85, 0.0
60.26, 47.27, 22.47, 47.39, 13.25, 42.67, 52.92, 67.87, 24.66, 11.71, 28.15, 26.81, 19.17, 29.14, 18.48, 30.59, 57.57, 248.28, 50.37, 221.46, 16.3, 20.48, 34.97, 41.92, 311.8, 418.64, 93.86, 308.0, 30.69, 17.78, 28.07, 29.05, 105.6, 232.77, 55.05, 264.64, 42.52, 29.66, 47.11, 28.6, 76.69, 111.5, 63.6, 78.69, 45.55, 21.24, 51.92, 50.87, 0.0
34.96, 35.5, 69.28, 70.83, 38.64, 23.92, 42.85, 87.22, 26.98, 15.39, 39.13, 45.34, 43.76, 25.63, 28.95, 18.56, 106.74, 248.37, 75.66, 253.84, 14.76, 14.88, 35.66, 19.83, 127.49, 343.0, 116.8, 387.44, 24.89, 24.52, 20.29, 65.89, 83.41, 194.75, 76.55, 282.02, 36.35, 16.26, 52.4, 32.31, 79.78, 77.59, 102.2, 105.39, 58.13, 55.34, 55.67, 51.67, 0.0
72.11, 26.42, 69.93, 71.31, 15.33, 17.16, 33.04, 50.55, 22.49, 11.51, 34.95, 29.68, 7.55, 11.22, 15.17, 19.75, 119.62, 169.6, 109.71, 235.56, 19.06, 13.04, 16.01, 28.48, 160.36, 273.68, 101.69, 359.34, 25.18, 12.89, 31.09, 35.96, 95.65, 211.14, 75.11, 263.11, 47.37, 28.37, 48.12, 27.03, 54.24, 62.99, 89.98, 117.59, 50.59, 39.33, 38.11, 48.64, 0.0
47.86, 14.33, 50.06, 51.49, 37.72, 39.29, 59.15, 27.72, 23.2, 13.03, 9.39, 22.62, 14.38, 36.15, 51.45, 27.94, 151.31, 191.67, 131.78, 216.05, 17.56, 10.82, 15.03, 11.0, 238.24, 270.6, 181.1, 254.04, 29.87, 19.93, 30.54, 38.41, 131.18, 128.08, 117.9, 234.52, 27.62, 17.07, 54.95, 28.52, 85.93, 87.24, 64.22, 156.71, 35.03, 45.44, 49.33, 25.05, 0.0
94.2, 58.85, 44.41, 39.39, 30.38, 50.23, 56.79, 62.3, 20.72, 12.36, 7.23, 5.26, 44.31, 43.13, 37.09, 28.78, 162.5, 202.42, 160.5, 202.59, 25.29, 15.95, 31.4, 29.57, 319.83, 352.32, 224.65, 252.07, 25.88, 19.34, 25.2, 33.51, 157.17, 130.91, 127.36, 198.34, 41.05, 37.46, 49.75, 30.6, 106.56, 91.93, 47.83, 122.42, 21.44, 37.87, 42.31, 29.93, 0.0
42.57, 23.58, 70.74, 93.82, 23.59, 45.51, 64.54, 61.39, 31.89, 10.19, 18.57, 24.72, 26.36, 25.04, 31.17, 11.66, 196.0, 212.52, 200.92, 215.22, 20.21, 6.98, 17.55, 14.28, 313.04, 396.87, 279.15, 227.37, 29.51, 30.01, 25.75, 40.76, 269.08, 236.16, 175.12, 217.51, 39.28, 50.99, 13.18, 35.01, 97.06, 74.87, 113.06, 135.02, 40.17, 54.52, 19.54, 41.52, 0.0
88.95, 55.62, 62.36, 80.38, 49.56, 42.71, 56.14, 87.8, 57.37, 35.19, 61.99, 73.87, 86.93, 66.69, 55.06, 44.97, 157.17, 135.94, 190.03, 171.44, 42.57, 53.63, 51.34, 71.89, 278.75, 354.83, 330.12, 208.87, 48.28, 52.84, 66.27, 72.06, 211.8, 209.23, 209.23, 195.49, 73.54, 95.62, 81.63, 85.81, 119.75, 91.62, 118.91, 118.32, 89.72, 106.33, 86.92, 109.56, 0.0
56.4, 40.62, 63.93, 76.63, 49.88, 38.69, 52.46, 26.51, 20.16, 7.11, 42.67, 44.01, 50.11, 61.44, 29.35, 9.85, 139.89, 113.02, 202.4, 139.77, 6.91, 13.29, 24.08, 46.43, 270.92, 378.7, 349.53, 188.31, 14.57, 24.92, 21.29, 24.75, 181.47, 186.78, 161.2, 174.49, 38.79, 39.49, 35.98, 41.02, 92.5, 83.76, 97.63, 111.59, 61.84, 58.61, 77.4, 62.43, 0.0
54.88, 48.35, 67.3, 77.43, 37.62, 31.63, 31.44, 19.15, 15.65, 10.82, 32.71, 44.09, 30.5, 35.02, 14.75, 2.12, 162.67, 108.37, 278.1, 204.59, 9.25, 4.09, 23.46, 45.95, 271.09, 315.27, 361.62, 236.88, 17.84, 14.25, 21.88, 25.55, 184.57, 199.77, 273.34, 217.28, 19.4, 12.56, 24.92, 34.77, 96.71, 93.79, 94.76, 99.27, 28.57, 27.11, 46.5, 58.9, 0.0
64.77, 42.36, 85.72, 52.58, 38.09, 45.23, 50.94, 27.64, 25.56, 10.44, 6.97, 9.05, 45.27, 57.52, 45.36, 1.82, 149.93, 98.21, 304.15, 112.84, 15.16, 10.76, 4.8, 58.84, 310.71, 183.22, 354.58, 192.04, 25.61, 26.83, 24.91, 49.22, 204.35, 112.2, 297.74, 169.94, 18.56, 42.08, 15.28, 37.99, 127.15, 87.25, 127.34, 88.78, 37.79, 65.92, 42.47, 59.42, 0.0
42.45, 21.5, 7.37, 54.36, 6.12, 39.59, 53.53, 24.38, 18.28, 9.89, 3.12, 12.38, 0.42, 31.32, 32.32, 1.51, 164.85, 81.04, 280.24, 66.84, 2.7, 12.55, 10.03, 21.62, 305.33, 132.32, 308.21, 157.75, 33.93, 27.0, 36.18, 28.95, 282.56, 71.35, 261.54, 124.52, 44.16, 54.38, 37.54, 27.37, 92.28, 51.41, 137.75, 90.9, 50.74, 70.68, 59.24, 36.28, 0.0
28.28, 25.73, 47.95, 56.36, 41.41, 19.21, 14.58, 14.91, 16.82, 5.23, 19.0, 32.41, 44.89, 20.5, 3.24, 0.93, 158.55, 65.31, 249.22, 24.12, 1.56, 5.32, 2.13, 13.63, 303.23, 94.02, 335.87, 193.77, 26.66, 28.6, 34.12, 26.19, 276.97, 50.49, 244.42, 88.37, 27.43, 31.19, 3.22, 25.66, 86.59, 54.45, 117.53, 67.41, 43.4, 17.33, 7.95, 40.55, 0.0
48.67, 51.95, 55.85, 81.97, 32.16, 40.12, 59.24, 24.69, 17.37, 16.52, 21.19, 12.93, 8.78, 23.79, 31.79, 2.0, 194.73, 72.51, 259.09, 17.62, 4.8, 12.72, 2.18, 2.86, 417.9, 128.32, 381.27, 178.55, 22.68, 22.03, 55.15, 20.56, 313.54, 53.96, 268.28, 72.21, 33.31, 10.55, 26.85, 26.78, 86.75, 64.36, 87.3, 42.63, 44.05, 4.98, 20.86, 48.3, 0.0
33.98, 14.54, 19.81, 56.72, 5.24, 36.0, 40.45, 20.57, 12.66, 5.94, 2.96, 8.53, 0.28, 6.45, 20.9, 1.83, 212.48, 70.12, 262.84, 17.52, 0.5, 0.39, 2.95, 28.25, 402.11, 138.57, 321.3, 67.61, 29.43, 38.68, 66.65, 30.03, 286.29, 53.0, 200.65, 37.03, 23.93, 25.13, 30.99, 29.46, 70.97, 65.61, 66.11, 39.47, 24.87, 17.27, 28.05, 44.76, 0.0
35.64, 42.55, 99.09, 85.02, 19.04, 27.54, 11.11, 41.26, 23.91, 13.17, 13.87, 27.71, 14.64, 6.58, 20.96, 4.09, 280.26, 62.38, 292.31, 18.82, 3.08, 3.19, 3.04, 3.34, 419.29, 167.35, 378.13, 40.88, 31.9, 34.24, 88.59, 32.66, 304.41, 74.38, 185.88, 55.63, 27.29, 22.99, 50.15, 32.46, 104.36, 62.46, 105.94, 56.49, 25.36, 25.75, 37.75, 49.19, 0.0
41.58, 32.68, 67.28, 88.85, 59.82, 36.29, 67.47, 24.95, 28.73, 7.76, 56.43, 62.43, 57.47, 33.42, 26.9, 24.91, 314.8, 57.9, 295.09, 25.36, 4.83, 10.5, 5.75, 3.96, 508.42, 177.49, 352.38, 53.78, 27.69, 31.15, 83.52, 36.93, 362.36, 77.67, 210.25, 50.5, 22.65, 23.97, 59.17, 34.52, 86.98, 89.75, 114.19, 54.59, 61.78, 22.93, 51.22, 66.51, 0.0
