0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, weight
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22, 0.18, 0.0, 0.0, 0.0, 0.0, 0.0, 5.82, 74.78, 93.44, 13.07, 0.34, 0.0, 0.0, 0.0, 22.33, 34.12, 211.94, 130.86, 40.95, 160.71, 0.53, 1.04, 0.5, 187.24, 79.71, 0.43, 0.59, 292.07, 1.36, 0.0, 0.0, 90.33, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 16.15260285835009
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.39, 0.29, 0.0, 0.0, 0.0, 0.0, 0.0, 14.27, 73.55, 72.48, 6.35, 0.03, 0.0, 0.0, 0.0, 40.31, 45.98, 183.01, 116.15, 37.46, 151.65, 0.02, 1.92, 1.02, 93.97, 83.99, 0.77, 0.28, 286.87, 0.93, 0.0, 0.0, 18.67, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.15260285835009
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2, 11.27, 45.78, 3.99, 0.04, 0.0, 0.0, 0.0, 4.54, 10.66, 101.81, 43.39, 50.08, 103.16, 80.12, 1.19, 0.27, 185.82, 183.33, 276.03, 378.17, 241.53, 152.59, 0.24, 0.0, 66.86, 6.54, 11.55, 9.26, 6.86, 16.95, 0.01, 16.03892951786537
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.78, 34.15, 70.89, 62.92, 113.51, 81.23, 12.63, 21.67, 0.03, 93.62, 83.18, 8.98, 65.93, 53.68, 133.07, 5.06, 0.0, 0.01, 0.01, 0.01, 27.02, 32.04, 247.01, 0.18, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 49.38, 112.88, 28.86, 168.73, 103.7, 88.81, 0.31, 0.01, 50.12, 77.57, 8.72, 56.18, 47.73, 123.57, 1.35, 0.0, 0.01, 42.88, 1.43, 0.03, 0.02, 172.89, 0.02, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.61, 20.69, 67.75, 127.04, 122.49, 2.6, 0.03, 0.01, 82.94, 42.01, 9.52, 20.16, 20.89, 171.1, 0.51, 0.0, 0.0, 0.01, 0.02, 0.02, 0.01, 2.32, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.58, 38.19, 98.16, 218.64, 118.05, 1.91, 0.01, 0.01, 17.62, 31.09, 18.07, 31.69, 29.03, 3.57, 0.01, 0.0, 0.0, 0.01, 0.02, 0.02, 0.01, 2.78, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 32.38, 48.36, 93.8, 171.16, 135.46, 3.34, 0.01, 0.02, 142.79, 65.04, 19.01, 33.49, 39.83, 5.1, 0.01, 0.0, 0.01, 0.01, 0.03, 0.03, 0.01, 3.22, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.26, 98.15, 0.86, 0.54, 0.88, 1.79, 0.01, 0.01, 2.45, 13.53, 2.34, 1.47, 2.24, 2.84, 0.01, 0.0, 0.0, 0.01, 0.03, 0.02, 0.02, 194.62, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.64, 97.05, 2.85, 173.71, 77.39, 1.77, 0.01, 0.03, 149.9, 106.39, 7.51, 15.14, 12.81, 2.39, 0.0, 0.0, 0.01, 0.01, 0.03, 0.03, 0.02, 213.6, 0.02, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.65, 30.23, 0.65, 0.91, 59.62, 0.76, 0.01, 0.01, 97.87, 116.0, 1.55, 1.84, 47.55, 1.54, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 1.15, 0.0, 0.0
0.0, 0.92, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 1.39, 41.97, 73.71, 124.75, 96.96, 125.48, 146.82, 17.71, 2.37, 173.02, 195.31, 193.94, 154.27, 179.29, 123.39, 3.21, 0.0, 26.95, 38.5, 64.74, 73.78, 36.23, 174.85, 0.03, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.08, 102.26, 46.02, 200.43, 140.18, 22.76, 0.05, 0.01, 35.09, 49.6, 26.15, 67.13, 63.76, 132.34, 7.75, 0.0, 0.0, 0.02, 0.02, 0.03, 0.02, 230.63, 0.09, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 31.66, 104.59, 70.56, 99.74, 38.79, 22.42, 25.05, 0.01, 27.03, 105.42, 62.57, 40.18, 24.4, 13.9, 0.01, 0.0, 0.0, 0.01, 0.02, 0.02, 0.01, 222.77, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14, 17.72, 54.31, 108.82, 100.54, 43.07, 0.02, 0.01, 1.74, 2.52, 15.31, 6.78, 63.58, 26.05, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 215.71, 0.06, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11, 51.18, 54.81, 132.75, 92.82, 43.72, 0.06, 0.01, 1.68, 11.78, 10.57, 64.43, 59.64, 176.13, 7.12, 0.0, 0.0, 0.01, 0.01, 0.02, 0.01, 1.38, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.83, 36.13, 0.65, 45.6, 109.13, 33.2, 0.02, 0.01, 2.62, 34.96, 1.66, 25.82, 77.54, 59.7, 0.16, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 214.25, 0.06, 0.058255267989453116
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.68, 1.25, 0.82, 54.68, 103.62, 31.73, 0.02, 0.01, 53.59, 46.34, 2.1, 32.65, 81.62, 57.23, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 221.98, 0.0, 0.06995991926249917
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21, 67.43, 13.92, 126.05, 156.95, 55.72, 0.04, 0.01, 2.26, 130.18, 56.01, 19.89, 77.59, 131.55, 0.36, 0.0, 0.0, 0.01, 0.02, 0.01, 0.02, 1.62, 0.0, 0.1069827367264257
